date,tweet,label,
01-01-20 0:05,RT @BBCR1: 🎆 Happy New Year! 🎆 https://t.co/yz0Uq4wT9L,no,
01-01-20 0:06,"RT @BBC6Music: 🅗🅐🅟🅟🅨 🅝🅔🅦 🅨🅔🅐🅡

#HappyNewYear https://t.co/vKfLt8jAiC",no,
01-01-20 0:06,"RT @BBCRadio2: 🎇🎉 HAPPY NEW YEAR! 🎉🎆

Let's raise a toast to a fabulous 2020! 🥂 https://t.co/HBa1c9vV6W",no,
01-01-20 0:09,"RT @bbcideas: Happy new year to all our followers! Here’s hoping 2020 is full of ideas, curiosities and fresh perspectives. Have a good one…",no,
01-01-20 0:09,"RT @BBCMOTD: 🎉 HAPPY NEW YEAR 🎉

2010s it was a pleasure! 🙌

Let's see what the new decade has to bring! 💪

#bbcfootball #HappyNewYear http…",no,
01-01-20 0:09,RT @BBCRadioScot: Happy New Year!!! Bliadhna Mhath Ùr!!! https://t.co/3rK4l3sENy,no,
01-01-20 11:23,RT @BBCOne: January sucks but never fear... #Dracula starts tonight. https://t.co/DPakszXO60,no,
01-01-20 11:26,"How did you celebrate?

Images from New Year's Eve celebrations from around the UK 📸🎇
https://t.co/MRsqmj2w7x",no,
01-01-20 12:01,"The story behind @LiamGallagher and @Coldplay’s performance at One Love, Manchester. 🐝💛
#LiamGallagher #AsItWas | S… https://t.co/C1RgLXHCdU",yes,One Love Manchester
01-01-20 12:15,"RT @bbcthree: Five vegans are on a mission to win over hearts and minds in the Welsh Valleys.

Veganville is now streaming on @BBCiPlayer h…",no,
01-01-20 12:57,"How clever are you, and how does your brain power compare to the rest of the UK’s?
👉 https://t.co/ilkyb8ZmLM https://t.co/m18zRUTlkB",no,
01-01-20 13:01,RT @bbcdoctorwho: TODAY. #DoctorWho https://t.co/jQGNZJqoPI,no,
01-01-20 13:01,"RT @BBCOne: Mary Berry and @ClaudiaWinkle wish you a Happy New Year! 🎆 

#BestHomeCook | BBC One | 2nd Jan, 8pm https://t.co/sMEE1lSm59",no,
01-01-20 13:04,Andris Nelsons conducts the @Vienna_Phil in a traditional feast of music from the New Year's Day Concert at the Mus… https://t.co/kgrWzwgBxD,no,
01-01-20 17:01,"From #GameOfThrones to #StarWars, Emilia Clarke has been in some EPIC CGI scenes - but which ones have stuck in her… https://t.co/mjP5BvgA0q",no,
01-01-20 21:23,"RT @bbcdoctorwho: Tonight’s episode was 😱! But don't worry, we are keeping the BIGGEST spoilers to ourselves for 24 hours! Make sure you ca…",no,
01-01-20 21:24,RT @BBCOne: Nope. Nope. Absolutely not. #Dracula https://t.co/yZwfXFUVPG,no,
01-02-20 11:01,"Ginger tomcat Pumpkin, who is ""banned"" from entering his favourite supermarket, has been spotted up to his old tric… https://t.co/3bjMirn4av",no,
01-02-20 13:01,"It's Day 1 of the #SixNations!  🏉

Live #WalesVItaly coverage | From 1:40pm | @BBCOne &amp; @BBCiPlayer.

👉… https://t.co/th57BseJMy",yes,Six Nations
01-02-20 17:01,"Tonight is the first LIVE #GreatestDancer of the series - dance captains @OtiMabuse, @CherylOfficial,… https://t.co/mw8mVpHcEj",yes,The Greatest Dancer
01-02-20 20:01,"Hard-hitting drama #Snowfall is back for a third series.  🙌

10:30pm | @BBCTwo &amp; @BBCiPlayer.

👉… https://t.co/z94D9I7vs7",no,
01-04-20 15:22,RT @BBCBreaking: Wimbledon tennis tournament cancelled for the first time since World War Two because of coronavirus pandemic https://t.co/…,yes,Wimbledon tennis tournament cancellation
01-05-20 16:01,"‘Daisy, Daisy give me your answer do…’ – find out what this song was really about in a magical tour of the London M… https://t.co/qenDQsJjvL",no,
02-01-20 8:36,"""I've been compiling my list for 60 years!""

Poet John Cooper Clarke (@official_jcc) finally gets to share his… https://t.co/rLVabANGJ0",no,
